Pregunta,Opciones,Respuesta,Tema
¿Qué es la estadística?,"Rama de las matemáticas que se encarga de la recogida, ordenación y presentación de datos_Rama de las matemáticas que se encarga puramente de la inferencia_Rama de las matemáticas que se encarga del análisis de medias y promedios_Rama de las matemáticas que se encarga de la descripción de poblaciones",1,Estadística
Se define como la muestra de un proyecto de investigación,Número de personas incluidas en un proyecto de investigación_Número de observaciones de un proyecto de investigación_Subconjunto de observaciones que suelen ser representativas de la población_Conjunto de obvservaciones totales que cuentan con las características de interés,3,Estadística
El género definido con las siguientes opciones: hombre o mujer. Es un tipo de variable,Ordinal_Nominal_Discreta_Continua,2,Variables
"La escolaridad (primaria, secundaria, etc.) es una variable de tipo",Ordinal_Nominal_Discreta_Continua,1,Variables
La edad medida en años cumplidos es una variable de tipo,Ordinal_Nominal_Discreta_Continua,3,Variables
El peso medido en kg (ej 26.4 kg) es una variable de tipo,Ordinal_Nominal_Discreta_Continua,4,Variables
Las variable cualitativas suelen describirse con uno de los siguientes tipos de datos,Media_Mediana_Frecuencia absoluta_Varianza,3,Variables
"Es una medida de tendencia central que utiliza el valor de todos los datos y los suma, para posteriormente dividirlo entre el número de datos (suma(x1+x2+x3….)/n",Media_Mediana_Frecuencia absoluta_Varianza,1,Estadística
"Medida de tendencia central que separa los datos a la mitad, es decir en el percentil 50",Media_Mediana_Frecuencia absoluta_Varianza,2,Estadística
Medida de tendencia central que describe el valor con el mayor número de incidencias (frecuencia),Media_Mediana_Moda_Varianza,3,Estadística
Es una desventaja de utilizar la media,Es demasiado generalista_Es confusa en la mayoría de las variables cualitativas_Requiere la desviación estandar_Es afectada por los valores extremos (outliers),4,Estadística
"Es parte de las medidas de dispersión, utiliza los valores extremos para intentar describir la dispersión de datos (valor máximo-valor mínimo= x)",Rango_Desviación estandar_Varianza_Intervalo de confianza,1,Estadística
"Medida de dispersión, que se escribe en las mismas unidades de los datos de origen y permite describir la variabilidad de los datos a partir de la media",Rango_Desviación estandar_Varianza_Intervalo de confianza,2,Estadística
Es el cuadrado de la desviación estándar ,Rango_Desviación estandar_Varianza_Intervalo de confianza,3,Estadística
La siguiente no es una característica de la distribución normal,Simetría_Alta curtosis_Forma de campana_Descubierta por Friederich Gauss,2,Estadística
"Como se comporta la media, mediana y moda en una distribución normal ideal","Mediana mayor a la moda_Tanto la mediana, la media y la moda son iguales_La moda es 2 desviaciones estándar mas elevada que la media_La media y la moda coinciden y la mediana es mayor",2,Estadística
El intervalo de confianza es el rango de valores que pueden contener el valor real,Cierto_Falso,1,Estadística
La media se considera una estimación puntual en contraste con una estimación por intervalo,Cierto_Falso,1,Estadística
