Pregunta,Opciones,Respuesta,Tema
¿Quién desarrollo el método dialéctico?,Platon_Aristóteles_Sócrates_Parmenides,2,Historia
¿Quién desarrollo el silogismo?,Platon_Aristóteles_Sócrates_Parmenides,1,Historia
"Propuso que existe un mundo de las ideas, que nacemos con conocimiento innato de este mundo y lo explicó con la alegoría de la cueva ",Platon_Aristóteles_Sócrates_Parmenides,0,Historia
Parte del proyecto de investigación donde se delimita el problema del estudio,Justificación_Planteamiento del problema_Hipótesis_Objetivos,1,Anteproyecto
"En esta parte del proyecto de investigación se enuncia lo que se desea conocer, buscar y lo que se pretende realizar en la investigación, suele utilizarse palabras en infinitivo como Obtener, Identificar, Evaluar",Justificación_Planteamiento del problema_Hipótesis_Objetivos,3,Anteproyecto
En esta parte del anteproyecto se busca plasmar la relevancia y la importancia de llevar a cabo una investigación en el tema propuesto',Justificación_Planteamiento del problema_Hipótesis_Objetivos,0,Anteproyecto
"Francis Bacon se refería a las barreras psicológicas para el desarrollo de la investigación como Ídolos, la tendencia a generalizar y ser afectados por los dogmas científicos son parte de sus enunciados, Cierto o Falso",Cierto_Falso,0,Historia
"Parte del anteproyecto, es una proposición tentativa acerca de las relaciones entre dos o más variables y se apoyan en conocimientos organizados y sistematizados. ",Justificación_Planteamiento del problema_Hipótesis_Objetivos,2,Anteproyecto
En los estudios descriptivos esta parte del anteproyecto es opcional.,Justificación_Planteamiento del problema_Hipótesis_Objetivos,2,Anteproyecto
"Las hipótesis se recomienda que sigan el siguiente patron SMART(Específica, medible, alcanzable, relevante, tiempo=",Cierto_Falso,0,Anteproyecto
Un sesgo se refiere a una tendencia sistemática que distorsiona los resultados de un estudio o la interpretación de los datos,Cierto_Falso,0,Sesgos
El origen de los sesgos se cree que proviene de un desarrollo mental avanzado,Cierto_Falso,1,Sesgos
Tendencia a buscar información que confirme nuestras preconcepciones,Confirmación_Encuadre_Exposición_Ilusión de correlación,0,Sesgos
Percibir una relación entre dos eventos por prejuicios o por procesamiento selectivo de información,Confirmación_Encuadre_Exposición_Ilusión de correlación,3,Sesgos
Preferencia por cosas debido a la familiaridad con ellas,Confirmación_Encuadre_Exposición_Ilusión de correlación,2,Sesgos
"Sesgo qué nos lleva a tomar decisiones diferentes o a sacar conclusiones distintas a partir de la misma información, dependiendo de cómo ésta sea presentada",Confirmación_Encuadre_Exposición_Ilusión de correlación,1,Sesgos
Método para reducir los sesgos de selección,Aleatorización_Selección no probabilística_Anonimato_Seleccionar personalmente,0,Sesgos
"Part del anteproyecto, se define como compendio escrito de artículos, libros y otros documentos que describen el estado pasado y actual del conocimiento sobre el problema de estudio.",Marco teórico_Planteamiento del problema_Hipótesis_Objetivos,0,Anteproyecto
"En esta fase del anteproyecto es posible identificar nuevas variables, comparar métodos de recolección de variables, saber en que estado se encuentra el conocimiento del tema de interés",Marco teórico_Planteamiento del problema_Hipótesis_Objetivos,0,Anteproyecto
"En la piramide del nivel de evidencia, los metanalisis se encuentran debajo de la serie de casos",Cierto_Falso,1,Evidencia
Los métodos estándar sugeridos para el desarrollo del marco teórico incluye la conceptualización en mapas y la vertebración de temas y subtemas.,Cierto_Falso,0,Anteproyecto
